"ccode","country","year","onset","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","instab","polity2l","ethfrac","relfrac"
678,"YEMEN ARAB REP.",1946,0,0,NA,8.02715015411377,3.33932209014893,0,0,0,0,-10,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1947,0,0,0.0509999990463257,8.04237842559814,3.33932209014893,0,0,0,1,-9,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1948,1,0,0.0500000007450581,8.06117153167725,3.33932209014893,0,0,0,1,-7,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1949,0,1,0.0489999987185001,8.0746488571167,3.33932209014893,0,0,0,1,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1950,0,0,0.0489999987185001,8.09498882293701,3.33932209014893,0,0,0,1,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1951,0,0,0.0480000004172325,8.10892391204834,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1952,0,0,0.0750000029802322,8.12326145172119,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1953,0,0,0.0740000009536743,8.14118957519531,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1954,0,0,0.0729999989271164,8.16051864624023,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1955,0,0,0.0719999969005585,8.18088054656982,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1956,0,0,0.153999999165535,8.20138549804688,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1957,0,0,0.103000000119209,8.22174739837646,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1958,0,0,0.0780000016093254,8.24170303344727,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1959,0,0,0.118000000715256,8.26178455352783,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1960,0,0,0.144999995827675,8.28248310089111,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1961,0,0,0.133000001311302,8.3037519454956,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
678,"YEMEN ARAB REP.",1962,1,0,0.150999993085861,8.32579040527344,3.33932209014893,0,0,0,0,-6,0.037243664264679,0.639999985694885
