site.1,site,size,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,avg_mort,lgs,lgs_corr,se,upper,lower,ln_size,size_corr,ln_size_corr,ln_size_corr_2_3,mgs_c,mgs_k,kt_mgs,size_corr_theta,size_corr_sma,ln_size_corr_sma,sma_slope,size_corr_sma_ignore,ln_size_corr_sma_ignore,,mu_kt,mu_ekt,ln_mu_kt,ln_mu_ekt,wood_density_mean,sla_no_pet_mean,sla_mean,lma_mean,lcc_mean,lnc_mean,cn_mean,lpc_mean,np_mean,mat,trait_comp_mean,e_kt_mgs,wood_density,sla,lma,lcc,lnc,lpc,pn,trait_comp,size_corr_mort,temp_corr_mort,wd_corr_mort,lma_corr_mort,pn_corr_mort,trait_corr_mort,intercept
NWT.1,NWT,28.5,0,0,0,0,0,0.117783036,0,0.105360516,,,0.027892944,5.358904,0.005204972,0.003663157,0.008868129,0.001541815,3.349904087,0.000114798,-9.072334054,-3.489160575,8.811617,281.961617,41.15796699,0.073196928,,,-0.9423011,,,,,0,,,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.508099857,37.60654931,0.026591113,50.5088565,1.339087,0.077738625,0.058053454,3.627686443,0.001435016,0.01328518,0.022248022,0.503519967,0.000777287,0.013389156,-3.438871
PSR.1,PSR,0.5,0.112265042,0.32826382,,,,,,,,,0.220264431,7.00274,0.031454035,0.015422447,0.046876483,0.016031588,-0.693147181,0.026415304,-3.633811738,-4.789057039,25.29655,298.44655,38.88457389,0.008502553,,,-0.635406,,,,,,,,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.513791219,68.40283543,0.014619277,43.57677019,2.838014137,0.117561027,0.041423693,4.669097162,0.005595843,0.003496277,0.005808832,0.241130953,0.000146025,0.00352516,-2.849994
PSR.1,PSR,1.5,0.104929209,0.42582355,,,,,,,,,0.26537638,7.00274,0.037896078,0.022912056,0.060808134,0.014984022,0.405465108,0.008229742,-4.800000628,-4.124225448,25.29655,298.44655,38.88457389,0.01597228,0.074288984,-2.5997926,-0.635406,0.148206859,-1.909146284,,0.002713881,1.70E-18,-5.909375561,-40.91836058,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.518111975,84.38866513,0.011849933,43.76746663,3.099259431,0.116865711,0.037707625,5.210694006,0.006041166,0.007851307,0.012962752,0.668034743,0.0002985,0.007916167,-2.849994
PSR.1,PSR,2.5,0.080736866,0.33786773,,,,,,,,,0.209302298,7.00274,0.029888629,0.018359304,0.048247933,0.011529325,0.916290732,0.003799382,-5.572916873,-4.045765653,25.29655,298.44655,38.88457389,0.017002251,0.036996247,-3.296938816,-0.635406,0.176191987,-1.736181045,,0.002088172,1.30E-18,-6.17146605,-41.18045107,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.522584075,74.01554217,0.013510676,43.60440965,2.960522671,0.120478746,0.040695093,4.900584048,0.005066175,0.009255515,0.015182959,0.690711172,0.000379766,0.009331975,-2.849994
PSR.1,PSR,3.5,0.080166763,0.26950591,,,,,,,,,0.174836337,7.00274,0.024966847,0.013518933,0.03848578,0.011447914,1.252762968,0.002694681,-5.916475404,-3.828537124,25.29655,298.44655,38.88457389,0.020906413,0.027582078,-3.590589081,-0.635406,0.233003094,-1.456703547,,0.002073427,1.30E-18,-6.178552433,-41.18753745,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.516187,61.63572275,0.016224357,44.03607979,2.744530688,0.116898243,0.042593163,4.310891466,0.004810815,0.010999114,0.018210648,0.683538838,0.000472357,0.011089978,-2.849994
PSR.1,PSR,4.5,0.041055682,0.23761108,,,,,,,,,0.139333381,7.00274,0.01989698,0.014034178,0.033931158,0.005862803,1.504077397,0.001073351,-6.836969589,-4.330173928,25.29655,298.44655,38.88457389,0.012560574,0.011403827,-4.473806238,-0.635406,0.147807292,-1.911845931,,0.001061861,6.64E-19,-6.847732204,-41.85671722,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.496282175,60.76877644,0.016455819,44.1671051,2.857569635,0.126999801,0.044443292,4.567622482,0.00361842,0.009781851,0.016680057,0.59934176,0.000438329,0.00986266,-2.849994
PSR.1,PSR,5.5,0.063564332,0.11488078,,,,,,,,,0.089222556,7.00274,0.012741092,0.003664026,0.016405119,0.009077066,1.704748092,0.001359665,-6.600517038,-3.759270218,25.29655,298.44655,38.88457389,0.022091513,0.014882213,-4.207588521,-0.635406,0.271493492,-1.303817109,,0.001644023,1.03E-18,-6.410608934,-41.41959396,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.493869625,48.19451174,0.020749251,43.89014927,2.731688926,0.126609801,0.046348543,3.791616732,0.002791286,0.00862594,0.014762849,0.419157271,0.000403103,0.008697199,-2.849994
PSR.1,PSR,6.5,0.055763752,0.05957402,,,,,,,,,0.057668886,7.00274,0.008235189,0.000272056,0.008507244,0.007963133,1.871802177,0.001009299,-6.898499569,-3.778829274,25.29655,298.44655,38.88457389,0.021550785,0.011324438,-4.480792204,-0.635406,0.274591615,-1.29247032,,0.001442269,9.01E-19,-6.541537381,-41.5505224,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.50131635,47.87681915,0.020886935,43.70435188,2.786556438,0.133363605,0.047859646,3.84601408,0.001778627,0.00614404,0.010397839,0.296587117,0.000296481,0.006194796,-2.849994
PSR.1,PSR,7.5,0.037717411,0.13104947,,,,,,,,,0.084383441,7.00274,0.012050061,0.006663967,0.018714028,0.005386093,2.014903021,0.000591646,-7.432602635,-4.074430934,25.29655,298.44655,38.88457389,0.015964015,0.006780738,-4.993669368,-0.635406,0.209800624,-1.561597607,,0.00097552,6.10E-19,-6.932539606,-41.94152463,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.4936588,39.68150701,0.025200656,44.20162189,2.665146794,0.126146344,0.047331856,3.189124906,0.003138627,0.011927267,0.020419438,0.477201826,0.000569203,0.012025799,-2.849994
PSR.1,PSR,8.5,0.017792133,0.07591209,,,,,,,,,0.046852112,7.00274,0.00669054,0.004149801,0.010840341,0.002540739,2.140066163,0.000246258,-8.309131223,-4.742354284,25.29655,298.44655,38.88457389,0.008153939,0.002875201,-5.851632842,-0.635406,0.110100107,-2.206365267,,0.000460174,2.88E-19,-7.683905173,-42.69289019,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.462876275,37.05270342,0.026988584,44.09638453,2.565316478,0.115325432,0.044955635,2.968283287,0.001872311,0.007734238,0.013896064,0.288941818,0.00035057,0.007798131,-2.849994
PSR.1,PSR,9.5,0.022162939,0.06596212,,,,,,,,,0.04406253,7.00274,0.006292184,0.003127289,0.009419473,0.003164895,2.251291799,0.000274464,-8.200691769,-4.448538772,25.29655,298.44655,38.88457389,0.010900838,0.003257826,-5.726695268,-0.635406,0.150774152,-1.891972241,,0.000573221,3.58E-19,-7.464239873,-42.47322489,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.480823025,43.14969053,0.023175137,44.04459011,2.685796267,0.130117677,0.048446592,3.620361839,0.001443682,0.00642265,0.011214975,0.27942479,0.000313726,0.006475708,-2.849994
PSR.1,PSR,10.5,0,0.05957402,,,,,,,,,0.02978701,7.00274,0.004253622,0.004253622,0.008507244,0,2.351375257,0,,,25.29655,298.44655,38.88457389,,,,-0.635406,,,,,0,,,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.4954267,34.18990225,0.029248402,43.85049056,2.812608358,0.123076327,0.043758786,2.533544677,0.001394609,0.006632424,0.011324283,0.228635221,0.000292624,0.006687215,-2.849994
PSR.1,PSR,11.5,0.032395765,0,,,,,,,,,0.016197883,7.00274,0.002313078,0.002313078,0.004626156,7.14006E-11,2.442347035,0.000331414,-8.012140777,-3.941562385,25.29655,298.44655,38.88457389,0.017990494,0.004046894,-5.509805581,-0.635406,0.259331042,-1.349649877,,0.000837882,5.24E-19,-7.084633848,-42.09361887,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.49479915,45.7406782,0.021862378,44.50866153,2.636307473,0.146053827,0.055400908,4.295342235,0.000447316,0.002260338,0.003863,0.104243511,0.000126259,0.002279011,-2.849994
PSR.1,PSR,12.5,0.032395765,0,,,,,,,,,0.016197883,7.00274,0.002313078,0.002313078,0.004626156,7.14006E-11,2.525728644,0.000304901,-8.095522386,-3.885974646,25.29655,298.44655,38.88457389,0.018969353,0.003769476,-5.580819337,-0.635406,0.278416768,-1.278636121,,0.000837882,5.24E-19,-7.084633848,-42.09361887,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.483316125,32.11438772,0.031138691,44.73881094,2.4607145,0.1181034,0.047995572,2.659055208,0.000722578,0.003859982,0.006714054,0.124985014,0.000186793,0.00389187,-2.849994
PSR.1,PSR,13.5,0,0,,,,,,,,,,7.00274,,,,,2.602689685,0,,,25.29655,298.44655,38.88457389,,,,-0.635406,,,,,,,,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.448467025,34.30167144,0.029153098,43.8923403,2.484147664,0.108914954,0.043843993,2.744274187,,,,,,,-2.849994
PSR.1,PSR,14.5,0,0,,,,,,,,,,7.00274,,,,,2.674148649,0,,,25.29655,298.44655,38.88457389,,,,-0.635406,,,,,,,,0.487621356,148.530597,51.29394034,0.01949548,44.11522612,3.068589666,18.8596941,0.135879377,,25.72328,3.892411552,7.80E+16,0.463158175,57.58551768,0.017365477,44.01861431,2.703222152,0.11831695,0.043768859,4.489329709,,,,,,,-2.849994
